LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,125.29205958099965,1.7401674941805507
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,128.27317672800018,1.7815718990000025
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,130.6440892149999,1.8145012390972208
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,136.66885300000013,1.8981785138888907
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,128.0298314659999,1.778192103694443
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,136.25956234800014,1.892493921500002
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,132.3802348510003,1.8386143729305597
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,136.9359271909998,1.9018878776527748
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,133.73828141400008,1.8574761307500012
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,144.734155698,2.010196606916667
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,133.27737965999995,1.8510747174999993
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,141.8055145430003,1.9695210353194486
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,132.26896845800002,1.8370690063611113
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,142.37898872899996,1.9774859545694439
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,140.69193372600012,1.954054635083335
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,135.52785546999985,1.88233132597222
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,139.71701754000014,1.940514132500002
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,145.64246747800007,2.0228120483055565
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,143.87528712599988,1.9982678767499982
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,145.84795274399994,2.0256660103333326
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,146.49271971000007,2.034621107083334
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,133.53008550200002,1.8545845208611114
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,141.61109344700026,1.966820742319448
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,143.03289447100042,1.9865679787638948
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,148.19660151799962,2.0582861321944392
100,0.1,1.0,6,same,static,True,100.0,6.91432914240237,72,145.40665358499973,2.0195368553472184
100,0.1,1.0,6,same,static,True,100.0,6.949958268784518,84,141.0371550130003,1.6790137501547655
100,0.1,1.0,6,same,static,True,100.0,6.949958268784518,84,141.13564918800012,1.6801862998571442
100,0.1,1.0,6,same,static,True,100.0,6.949958268784518,84,144.87946218099978,1.7247555021547594
100,0.1,1.0,6,same,static,True,100.0,6.949958268784518,84,156.45844020100003,1.8626004785833337
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,288.41248373300004,1.9227498915533336
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,284.4569257809999,1.8963795052066659
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,288.085586446,1.9205705763066665
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,297.5899881319997,1.9839332542133312
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,288.67164724400027,1.9244776482933352
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,297.52671979700017,1.9835114653133346
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,143,226.55329339900027,1.584288765027974
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,295.69017823099966,1.9712678548733311
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,143,229.6497892540001,1.6059425821958049
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,296.54239485000016,1.976949299000001
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,306.00948947999996,2.0400632631999995
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,297.7947810989999,1.9852985406599994
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,314.3895884880003,2.095930589920002
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,304.410826714,2.0294055114266665
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,306.6117932870002,2.0440786219133344
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,312.54408151999996,2.0836272101333333
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,320.3294761420002,2.135529840946668
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,305.1343111420001,2.0342287409466673
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,143,234.59363415899998,1.640514924188811
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,314.9622473649997,2.0997483157666648
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,316.3051607279999,2.1087010715199996
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,298.20699886700004,1.9880466591133337
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,309.3195699219996,2.0621304661466637
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,310.78110038800014,2.0718740025866675
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,306.8024704069999,2.0453498027133326
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,305.55838325800005,2.037055888386667
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,315.908786297,2.1060585753133334
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,322.9049288059996,2.1526995253733308
