LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,collision_failure,skip_rollout,no_hertg,trial_config
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5897965147225459,400,37.85798987999442,0.09464497469998605,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5897965147225459,400,39.37318459800008,0.09843296149500019,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.5554338850807,0.5697447389873871,400,40.23086932300066,0.10057717330750165,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5929720230397123,400,40.84706713400374,0.10211766783500935,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982445,400,39.24539259200537,0.09811348148001343,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5897965147225459,400,39.81156216200179,0.09952890540500448,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5929720230397123,400,40.03856928599998,0.10009642321499995,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,82.71755298518032,0.9302447115018507,400,38.87311256799876,0.0971827814199969,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72349391824896,0.9303041208325374,400,39.3875831990008,0.09846895799750201,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.7016589654055,0.9300857713041027,400,40.993607957003405,0.10248401989250851,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.7016589654055,0.9300857713041027,400,41.90850874900207,0.10477127187250516,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71006114478813,0.9301697930979287,400,41.871596263001265,0.10467899065750316,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.70830249428887,0.9301522065929364,400,42.23054700600187,0.10557636751500468,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72349391824896,0.9303041208325374,400,42.96694070599915,0.10741735176499788,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.7016589654055,0.9300857713041027,400,42.50637347999873,0.10626593369999682,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71643150709353,0.9302334967209829,400,44.21324927100068,0.11053312317750169,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71083488505853,0.9301775305006329,400,44.246324327003094,0.11061581081750774,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982444,400,45.02642228700279,0.11256605571750697,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72221760990877,0.9302913577491351,400,44.38007846099936,0.11095019615249839,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72223546717635,0.9302915363218109,400,45.4207719219994,0.11355192980499851,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71083488505853,0.9301775305006329,400,41.26240364000114,0.10315600910000285,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982442,400,41.924681889002386,0.10481170472250596,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982442,400,39.88934515500296,0.0997233628875074,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71006114478813,0.9301697930979287,400,39.74286309300078,0.09935715773250195,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72221760990877,0.9302913577491351,400,43.416403433002415,0.10854100858250604,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72411098380998,0.9303102914881476,400,39.76068017199577,0.09940170042998943,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982445,400,39.28224021000642,0.09820560052501605,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.863589176995447,0.024658972942488616,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,82.71006114478813,0.9301697930979287,400,38.14200669799902,0.09535501674499755,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.70557052995657,0.9301248869496131,400,42.56519950299844,0.1064129987574961,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982443,400,40.021136939001735,0.10005284234750433,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.345169902000634,0.023362924755001586,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,82.71474745916169,0.9302166562416645,400,37.47695744700468,0.0936923936175117,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72794582066135,0.930348639856661,400,37.93694058600522,0.09484235146501305,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71182410203728,0.9301874226704204,400,40.35754364600143,0.10089385911500358,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982445,400,40.41015546699782,0.10102538866749455,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.7105848951871,0.9301750306019184,400,36.71719205899717,0.09179298014749293,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71006114478813,0.9301697930979287,400,38.50086223299877,0.09625215558249693,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982443,400,40.05360774900328,0.1001340193725082,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,10.902271676000964,0.02725567919000241,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,82.70557052995657,0.9301248869496131,400,42.34303432000161,0.10585758580000401,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982442,400,38.32512217700423,0.09581280544251058,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982442,400,41.312137255998095,0.10328034313999523,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982442,400,42.29942636600026,0.10574856591500065,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982443,400,38.001153584998974,0.09500288396249744,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.694777190001332,0.02173694297500333,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,82.6992698310186,0.9300618799602335,400,39.06337386299856,0.0976584346574964,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71953303111759,0.9302645119612236,400,39.49221669899998,0.09873054174749996,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.72411098380998,0.9303102914881476,400,38.08294887500233,0.09520737218750583,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982443,400,40.83666240900493,0.10209165602251233,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9092334620887579,400,41.310524968997925,0.10327631242249481,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.74366787304915,0.930505860380539,400,37.316201228000864,0.09329050307000215,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.313297243999841,0.020783243109999603,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982442,400,37.047392334003234,0.09261848083500808,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.617459973000223,0.021543649932500557,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.817228700994747,0.022043071752486865,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982445,400,39.70649232700089,0.09926623081750222,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.74366787304915,0.930505860380539,400,38.634903019003104,0.09658725754750776,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.754190097999526,0.021885475244998814,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.363107787001354,0.020907769467503386,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.119134287000634,0.022797835717501585,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.294906622999406,0.018237266557498515,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.222247263998725,0.020555618159996812,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.393001465003181,0.018482503662507952,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.614711260997865,0.021536778152494662,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.492618907999713,0.01873154726999928,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.068125746998703,0.017670314367496758,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.131456424001954,0.020328641060004884,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.473158884000441,0.0186828972100011,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.2615419430003385,0.018153854857500845,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.812855137002771,0.017032137842506928,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.515241123997839,0.016288102809994598,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.145300263997342,0.017863250659993356,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.665043600994977,0.016662609002487443,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.913111943998956,0.01728277985999739,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.580012094003905,0.016450030235009763,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.7397365479992,0.016849341369998,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.744794887003081,0.016861987217507705,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.656083252004464,0.01664020813001116,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.599233518005349,0.01649808379501337,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.6473206379960175,0.016618301594990045,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.610977705997357,0.01652744426499339,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.72791822799627,0.016819795569990675,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.631504875003884,0.01657876218750971,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.5949995780028985,0.016487498945007246,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.276400578004541,0.018191001445011352,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.8843212770007085,0.01721080319250177,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.763508553995052,0.01690877138498763,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.748883159998513,0.016872207899996283,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.020297804003349,0.017550744510008372,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.153046171006281,0.0178826154275157,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,6.957917840001755,0.017394794600004388,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,77.77210237807851,0.8868400670035458,29,2.0275000580004416,0.0699137951034635,False,True,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,74.26613505354302,0.8379937848584416,49,3.3205873089973466,0.06776708793872135,False,True,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.243614519997209,0.018109036299993022,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.2641414719983,0.01816035367999575,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,77.77210237807851,0.8868400670035458,29,2.344508854999731,0.0808451329310252,False,True,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.681708599004196,0.01920427149751049,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.294842427996628,0.02073710606999157,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.741390691997367,0.019353476729993418,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.353199577999476,0.02088299894499869,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.572408908003126,0.021431022270007816,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.938651190997916,0.02234662797749479,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982445,400,33.36837581200234,0.08342093953000586,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.880704237999453,0.024701760594998633,False,False,True,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,66.66666666666667,0.7784788395253912,400,16.386272677002125,0.040965681692505314,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,82.86196543326407,0.9582901733162538,400,18.410737116995733,0.046026842792489336,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,66.66666666666667,0.7867521446586819,400,19.45090828800312,0.048627270720007804,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9642280391587075,400,17.617648384002678,0.04404412096000669,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9696563057578463,400,21.858689841006708,0.054646724602516766,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,82.86158528730576,0.9582863718566709,400,20.400104041000304,0.051000260102500763,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,82.86196543326407,0.9582901733162538,400,22.3407992890061,0.05585199822251525,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9611729626195269,400,22.934899587999098,0.05733724896999774,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,82.86362114638153,0.9583067304474285,400,22.268899472001067,0.055672248680002666,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9739116411641261,400,22.027799700001196,0.05506949925000299,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,91.66666666666666,1.0700918792062681,400,24.776062135999382,0.06194015533999846,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,66.66666666666667,0.7855339332632147,400,18.577460765001888,0.04644365191250472,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,82.86566816172183,0.9583272006008314,400,23.192475837997335,0.05798118959499334,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,82.86566816172183,0.9583272006008314,400,23.274927663995186,0.05818731915998796,False,False,True,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.976193378159111,400,25.128848842003208,0.06282212210500802,False,False,True,False,trial_46
